,house_name,house_basic_inf,house_address,house_totalprice,house_unitprice
130,融创瑷骊山 ,2室1厅_81平米_南_简装_中楼层(共12层)_板楼,转塘,240万,单价29630元/平米
131,蚕花园永宁坊 ,2室1厅_67.32平米_南_简装_高楼层(共22层)_板楼,拱宸桥,170万,单价25253元/平米
132,左岸花园 ,3室2厅_114.87平米_南_简装_低楼层(共11层)_板楼,拱宸桥,380万,单价33081元/平米
133,木庵小区 ,2室1厅_60.89平米_南_简装_中楼层(共7层)_板楼,体育场路,280万,单价45985元/平米
134,新华坊社区 ,2室1厅_48.45平米_南_简装_高楼层(共7层)_板楼,丝绸城,230万,单价47472元/平米
135,雅居乐国际花园 ,4室2厅_127平米_南_毛坯_低楼层(共33层)_板楼,闲林,310万,单价24410元/平米
136,万马伊顿庄园 ,4室2厅_129.87平米_南_简装_高楼层(共25层)_塔楼,临安,216万,单价16633元/平米
137,湖山新村 ,3室2厅_90.15平米_南北_简装_中楼层(共6层)_板楼,临安,125万,单价13866元/平米
138,星汇花园 ,3室1厅_121.3平米_南_简装_高楼层(共32层)_板楼,临安,217万,单价17890元/平米
139,星汇花园 ,3室1厅_121.3平米_南_毛坯_中楼层(共32层)_板楼,临安,245万,单价20198元/平米
140,开元广场 ,3室2厅_131.65平米_南_毛坯_中楼层(共19层)_板楼,南部卧城,410万,单价31144元/平米
141,嘉绿景苑东园 ,3室1厅_106.54平米_南_简装_低楼层(共13层)_板楼,文三西路,416万,单价39047元/平米
142,中兴和园 ,2室2厅_86.84平米_南北_精装_低楼层(共10层)_板楼,彩虹城,265万,单价30516元/平米
143,宋都晨光国际 ,3室2厅_136.35平米_南_简装_31层_板楼,沿江南,335万,单价24570元/平米
144,水韵康桥康锦苑 ,2室1厅_68.57平米_南_简装_高楼层(共28层)_板楼,半山,180万,单价26251元/平米
145,林之语 ,3室2厅_139.8平米_南_简装_中楼层(共22层)_板楼,萧山科技城,290万,单价20744元/平米
146,欣景苑 ,3室1厅_112.59平米_南_简装_低楼层(共18层)_板楼,三塘,359万,单价31886元/平米
147,白马湖小区孔雀苑 ,3室2厅_129平米_南北_精装_高楼层(共18层)_板楼,白马湖,375万,单价29070元/平米
148,寰宇天下 ,3室2厅_182.13平米_南东北_毛坯_低楼层(共30层)_板楼,滨江区政府,1068万,单价58640元/平米
149,碧桂园天麓府 ,3室1厅_87.31平米_南_毛坯_低楼层(共26层)_塔楼,南部卧城,220万,单价25198元/平米
150,东南钱江蓝湾 ,3室1厅_86.69平米_南北东_毛坯_高楼层(共7层)_板楼,萧山科技城,270万,单价31146元/平米
151,金色黎明一期 ,3室1厅_83.5平米_南_精装_高楼层(共16层)_板楼,笕桥,335万,单价40120元/平米
152,双菱新村 ,2室1厅_53.9平米_南_简装_中楼层(共7层)_板楼,采荷,319万,单价59184元/平米
153,万家星城三期 ,3室2厅_88.32平米_南_毛坯_中楼层(共19层)_板楼,三塘,485万,单价54914元/平米
154,新城山语院 ,3室1厅_86.56平米_南_简装_高楼层(共25层)_板楼,临平,220万,单价25416元/平米
155,九龙仓珑玺 ,4室2厅_126.8平米_南北_毛坯_低楼层(共18层)_板塔结合,申花,830万,单价65458元/平米
156,越秀星汇尚城 ,2室1厅_74.84平米_南_精装_25层_板楼,万达广场,275万,单价36746元/平米
157,华龙家园 ,2室1厅_63.84平米_南_简装_高楼层(共7层)_平房,近江,340万,单价53259元/平米
